name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
Gronsfeld/Gronsfeld-113-55%.txt,13862,2186,515,6151,81,748,1
Gronsfeld/Gronsfeld-126-31%.txt,17479,2493,665,7805,96,570,1
Gronsfeld/Gronsfeld-145-45%.txt,11922,1696,507,5090,57,438,1
Gronsfeld/Gronsfeld-119-93%.txt,1242,269,96,521,5,324,1
Gronsfeld/Gronsfeld-135-39%.txt,14995,2409,628,6478,71,480,1
Gronsfeld/Gronsfeld-103-92%.txt,2633,455,218,1058,9,478,1
Gronsfeld/Gronsfeld-134-94%.txt,908,218,121,364,6,420,1
Gronsfeld/Gronsfeld-150-47%.txt,18585,2710,767,8008,89,692,1
Gronsfeld/Gronsfeld-115-42%.txt,8657,1230,331,3831,43,316,1
Gronsfeld/Gronsfeld-110-75%.txt,9795,1628,486,4194,42,686,1
Gronsfeld/Gronsfeld-141-98%.txt,711,243,182,238,3,696,1
Gronsfeld/Gronsfeld-142-82%.txt,8264,1277,468,3472,35,774,1
Gronsfeld/Gronsfeld-128-84%.txt,3567,617,217,1564,18,482,1
Gronsfeld/Gronsfeld-144-90%.txt,2461,471,179,1062,13,554,1
Gronsfeld/Gronsfeld-127-91%.txt,1833,357,168,771,11,508,1
Gronsfeld/Gronsfeld-129-31%.txt,14184,2209,573,6144,60,358,1
Gronsfeld/Gronsfeld-124-84%.txt,2998,574,190,1282,17,538,1
Gronsfeld/Gronsfeld-136-60%.txt,8714,1290,348,3878,49,508,1
Gronsfeld/Gronsfeld-120-49%.txt,18189,2754,760,7809,79,632,1
Gronsfeld/Gronsfeld-133-61%.txt,12218,1846,541,5424,68,736,1
Gronsfeld/Gronsfeld-123-34%.txt,16680,2347,650,7483,89,574,1
Gronsfeld/Gronsfeld-140-63%.txt,7220,1140,297,3238,40,440,1
Gronsfeld/Gronsfeld-147-90%.txt,3366,691,254,1374,17,654,1
Gronsfeld/Gronsfeld-106-35%.txt,22425,3130,882,9874,116,776,1
Gronsfeld/Gronsfeld-114-57%.txt,6310,900,231,2790,28,298,1
Gronsfeld/Gronsfeld-148-31%.txt,12580,1918,433,5661,68,418,1
Gronsfeld/Gronsfeld-143-50%.txt,16144,2424,638,7200,85,710,1
Gronsfeld/Gronsfeld-109-88%.txt,4908,773,320,2133,22,770,1
Gronsfeld/Gronsfeld-101-37%.txt,18553,2590,690,8341,96,632,1
Gronsfeld/Gronsfeld-102-80%.txt,3121,571,187,1370,19,436,1
