name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1038.txt,411,75,24,140,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1006.txt,470,72,16,144,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted960.txt,138,29,11,36,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1069.txt,202,38,8,74,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1091.txt,89,15,9,28,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1025.txt,446,81,40,170,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1031.txt,307,50,16,102,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1104.txt,191,32,8,64,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1052.txt,454,78,24,180,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted994.txt,320,72,13,94,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted963.txt,90,22,2,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1020.txt,401,78,16,128,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1043.txt,82,14,5,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1004.txt,163,29,8,57,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1035.txt,347,51,18,107,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1068.txt,328,67,21,98,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1121.txt,229,49,16,80,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted959.txt,151,31,11,41,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1067.txt,111,16,7,47,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1082.txt,466,102,19,168,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1040.txt,361,68,20,130,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1092.txt,317,57,20,102,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted996.txt,197,38,7,68,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1119.txt,345,70,14,129,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1056.txt,175,29,10,50,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1046.txt,75,12,7,25,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1122.txt,439,94,25,158,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1049.txt,78,12,3,25,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1098.txt,235,47,11,77,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1021.txt,248,52,19,88,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1028.txt,63,16,3,21,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1077.txt,398,75,21,137,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1009.txt,293,60,20,92,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1073.txt,61,16,5,19,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1072.txt,428,85,32,139,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1017.txt,120,22,4,40,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1058.txt,365,67,24,121,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted978.txt,363,60,24,111,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1084.txt,116,27,9,40,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1050.txt,222,38,8,72,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1116.txt,409,70,20,132,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1129.txt,229,40,12,69,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1086.txt,270,53,16,82,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1099.txt,361,64,14,118,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1062.txt,167,35,11,60,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1094.txt,371,76,13,128,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1024.txt,218,39,9,91,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1066.txt,480,92,23,146,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1057.txt,357,58,23,125,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1065.txt,324,64,14,114,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1093.txt,368,73,19,132,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1115.txt,386,61,13,133,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1002.txt,430,73,17,138,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted982.txt,166,24,16,58,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1019.txt,321,72,16,113,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1074.txt,164,35,6,46,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted975.txt,72,12,6,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1097.txt,81,19,4,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1109.txt,254,42,14,88,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1034.txt,465,76,15,153,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted972.txt,174,30,12,60,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted966.txt,186,37,12,59,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1102.txt,102,15,6,41,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted974.txt,260,46,28,85,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1112.txt,238,34,10,77,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1011.txt,149,32,15,47,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1036.txt,295,55,11,100,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1090.txt,391,56,21,129,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted999.txt,231,63,12,84,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1044.txt,203,34,14,71,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1033.txt,160,30,11,56,0
