name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
Unencrypted1.txt,8379,8377,8379,4131,0
Unencrypted10.txt,13749,13666,13729,5912,0
Unencrypted100.txt,7507,6125,7192,1057,0
Unencrypted1000.txt,5006,5006,5006,2305,0
Unencrypted1001.txt,1385,1385,1385,540,0
Unencrypted1002.txt,2550,2550,2550,1142,0
Unencrypted1003.txt,1690,1688,1689,661,0
Unencrypted1004.txt,11082,10997,11064,4469,0
Unencrypted1005.txt,3665,3647,3662,1580,0
Unencrypted1006.txt,4892,4837,4880,2078,0
Unencrypted1007.txt,12023,11865,11992,4818,0
Unencrypted1008.txt,4174,4129,4161,1623,0
Unencrypted1009.txt,9187,9098,9182,3968,0
Unencrypted101.txt,3676,3059,3532,502,0
Unencrypted1010.txt,5037,5027,5033,2298,0
Unencrypted1011.txt,2279,2257,2276,1021,0
Unencrypted1012.txt,1247,1188,1245,305,0
Unencrypted1013.txt,2160,2135,2155,887,0
Unencrypted1014.txt,5640,5405,5525,1787,0
Unencrypted1015.txt,2411,2257,2342,711,0
Unencrypted1016.txt,993,993,993,333,0
Unencrypted1017.txt,4501,4501,4501,1477,0
Unencrypted1018.txt,865,865,865,294,0
Unencrypted1019.txt,6478,6478,6478,2050,0
Unencrypted102.txt,3060,2501,2910,374,0
Unencrypted1020.txt,6969,6967,6967,2299,0
Unencrypted1021.txt,2989,2989,2989,966,0
Unencrypted1022.txt,3153,3153,3153,974,0
Unencrypted1023.txt,3217,3217,3217,1038,0
Unencrypted1024.txt,10420,10420,10420,3432,0
Unencrypted1025.txt,6607,6607,6607,2222,0
Unencrypted1026.txt,6184,6183,6183,2105,0
Unencrypted1027.txt,7125,7125,7125,2484,0
Unencrypted1028.txt,4653,4653,4653,1589,0
Unencrypted1029.txt,2498,2498,2498,813,0
Unencrypted103.txt,2993,2427,2874,374,0
Unencrypted1030.txt,10268,10268,10268,3527,0
Unencrypted1031.txt,7328,6598,7139,1703,0
Unencrypted1032.txt,4915,4168,4759,844,0
Unencrypted1033.txt,7097,6157,6873,1182,0
Unencrypted1034.txt,1715,1405,1645,261,0
Unencrypted1035.txt,2659,2181,2553,377,0
Unencrypted1036.txt,5252,4361,5053,702,0
Unencrypted1037.txt,3264,2696,3147,435,0
Unencrypted1038.txt,903,738,868,125,0
Unencrypted1039.txt,7745,6436,7443,1136,0
Unencrypted104.txt,795,690,769,125,0
Unencrypted1040.txt,2991,2511,2878,437,0
Unencrypted1041.txt,5509,4482,5282,821,0
Unencrypted1042.txt,5977,4957,5741,809,0
Unencrypted1043.txt,3672,3003,3500,544,0
Unencrypted1044.txt,2600,2147,2486,365,0
Unencrypted1045.txt,4711,3949,4518,696,0
Unencrypted1046.txt,3531,2954,3404,496,0
Unencrypted1047.txt,7174,5844,6892,1090,0
Unencrypted1048.txt,4877,4040,4696,619,0
Unencrypted1049.txt,7513,6369,7230,1103,0
Unencrypted105.txt,3274,2761,3136,444,0
Unencrypted1050.txt,3435,2809,3298,486,0
Unencrypted1051.txt,6690,5431,6423,949,0
Unencrypted1052.txt,4162,3545,3999,705,0
Unencrypted1053.txt,5734,4659,5523,810,0
Unencrypted1054.txt,4035,3389,3886,655,0
Unencrypted1055.txt,2129,1767,2043,260,0
Unencrypted1056.txt,3830,3161,3659,546,0
Unencrypted1057.txt,2257,1923,2175,341,0
Unencrypted1058.txt,6034,4948,5822,940,0
Unencrypted1059.txt,7377,6186,7117,1191,0
Unencrypted106.txt,6301,5189,6043,944,0
Unencrypted1060.txt,8316,6811,8004,1215,0
Unencrypted1061.txt,5097,4363,4921,847,0
Unencrypted1062.txt,7200,5928,6899,1059,0
Unencrypted1063.txt,1044,912,1002,139,0
Unencrypted1064.txt,2447,2072,2345,360,0
Unencrypted1065.txt,8037,6871,7743,1359,0
Unencrypted1066.txt,6963,5806,6695,1007,0
Unencrypted1067.txt,4545,3743,4340,671,0
Unencrypted1068.txt,5062,4169,4840,681,0
Unencrypted1069.txt,6839,5839,6590,1063,0
Unencrypted107.txt,5172,4279,4985,699,0
Unencrypted1070.txt,6252,5133,6002,893,0
Unencrypted1071.txt,2433,2001,2316,350,0
Unencrypted1072.txt,5317,4356,5107,704,0
Unencrypted1073.txt,3154,2621,3035,465,0
Unencrypted1074.txt,1315,1154,1264,189,0
Unencrypted1075.txt,6157,5253,5954,1086,0
Unencrypted1076.txt,1172,959,1124,149,0
Unencrypted1077.txt,1395,1176,1337,216,0
Unencrypted1078.txt,5125,4246,4929,792,0
Unencrypted1079.txt,4522,3673,4354,589,0
Unencrypted108.txt,1941,1624,1881,303,0
Unencrypted1080.txt,5945,4947,5722,914,0
Unencrypted1081.txt,3995,3400,3859,650,0
Unencrypted1082.txt,517,445,498,84,0
