name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted369.txt,544,119,43,189,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted311.txt,346,59,20,131,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted230.txt,601,121,35,171,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted265.txt,542,88,16,204,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted213.txt,508,104,21,155,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted348.txt,372,62,13,119,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted203.txt,399,77,26,150,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted207.txt,592,98,34,190,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted193.txt,445,99,21,154,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted275.txt,452,83,10,141,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted199.txt,228,30,14,78,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted228.txt,502,96,29,170,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted274.txt,404,66,18,133,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted331.txt,560,89,37,196,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted217.txt,338,71,14,104,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted338.txt,378,70,37,136,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted308.txt,359,79,22,129,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted262.txt,507,98,24,142,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted374.txt,462,84,33,137,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted244.txt,644,108,29,216,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted294.txt,489,97,17,171,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted343.txt,215,41,12,84,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted359.txt,521,93,25,196,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted270.txt,148,29,5,40,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted362.txt,203,45,9,74,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted208.txt,553,111,26,197,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted197.txt,495,85,26,158,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted280.txt,610,107,29,203,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted248.txt,554,111,36,181,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted317.txt,448,102,28,147,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted204.txt,606,115,32,191,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted336.txt,373,61,15,139,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted220.txt,446,83,20,162,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted253.txt,126,19,6,39,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted221.txt,355,60,24,117,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted234.txt,490,91,24,164,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted314.txt,598,123,35,187,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted272.txt,189,41,8,57,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted196.txt,179,31,11,54,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted366.txt,162,31,11,53,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted195.txt,373,75,24,131,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted226.txt,410,81,22,129,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted301.txt,168,28,8,45,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted238.txt,81,18,5,22,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted342.txt,206,41,14,66,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted218.txt,551,109,27,183,0
/root/Desktop/final Project/type of ecrypted/Autokey/Unencrypted/Unencrypted237.txt,111,19,4,29,0
