name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
all ASCII\Unencrypted1.txt,2895,285,102,1470,0
all ASCII\Unencrypted10.txt,1450,256,70,621,0
all ASCII\Unencrypted100.txt,7361,3523,1409,947,0
all ASCII\Unencrypted1000.txt,1978,925,336,237,0
all ASCII\Unencrypted1001.txt,1231,631,233,149,0
all ASCII\Unencrypted1002.txt,5009,2223,925,825,0
all ASCII\Unencrypted1003.txt,1742,751,362,259,0
all ASCII\Unencrypted1004.txt,2528,1122,495,388,0
all ASCII\Unencrypted1005.txt,3559,1639,661,515,0
all ASCII\Unencrypted1006.txt,7649,3295,1508,1216,0
all ASCII\Unencrypted1007.txt,1152,512,203,171,0
all ASCII\Unencrypted1008.txt,6719,2974,1421,1013,0
all ASCII\Unencrypted1009.txt,5872,2791,1171,800,0
all ASCII\Unencrypted101.txt,1413,726,259,158,0
all ASCII\Unencrypted1010.txt,5391,2446,1075,812,0
all ASCII\Unencrypted1011.txt,1175,575,255,172,0
all ASCII\Unencrypted1012.txt,3522,1806,745,433,0
all ASCII\Unencrypted1013.txt,4320,1988,825,653,0
all ASCII\Unencrypted1014.txt,2747,1263,585,419,0
all ASCII\Unencrypted1015.txt,2171,983,394,285,0
all ASCII\Unencrypted1016.txt,7199,3491,1436,1011,0
all ASCII\Unencrypted1017.txt,4633,2449,1013,599,0
all ASCII\Unencrypted1018.txt,6658,2944,1280,1011,0
all ASCII\Unencrypted1019.txt,4153,1808,705,741,0
all ASCII\Unencrypted102.txt,1685,857,344,201,0
all ASCII\Unencrypted1020.txt,2724,1366,570,341,0
all ASCII\Unencrypted1021.txt,4450,2130,796,690,0
all ASCII\Unencrypted1022.txt,2568,1319,525,328,0
all ASCII\Unencrypted1023.txt,6604,3137,1268,945,0
all ASCII\Unencrypted1024.txt,2953,1201,589,540,0
all ASCII\Unencrypted1025.txt,4774,2247,941,622,0
all ASCII\Unencrypted1026.txt,6541,3079,1230,940,0
all ASCII\Unencrypted1027.txt,2523,1051,503,391,0
all ASCII\Unencrypted1028.txt,2937,1398,575,363,0
all ASCII\Unencrypted1029.txt,7747,3474,1395,1246,0
all ASCII\Unencrypted103.txt,4512,1993,913,642,0
all ASCII\Unencrypted1030.txt,3541,1695,691,480,0
all ASCII\Unencrypted1031.txt,5328,2532,1090,750,0
all ASCII\Unencrypted1032.txt,6951,3219,1298,960,0
all ASCII\Unencrypted1033.txt,2779,1258,551,388,0
all ASCII\Unencrypted1034.txt,531,254,117,66,0
all ASCII\Unencrypted1035.txt,6353,3101,1191,797,0
all ASCII\Unencrypted1036.txt,572,251,108,94,0
all ASCII\Unencrypted1037.txt,7683,3711,1515,1066,0
all ASCII\Unencrypted1038.txt,7864,3741,1532,1085,0
all ASCII\Unencrypted1039.txt,3807,1556,709,710,0
all ASCII\Unencrypted104.txt,3078,1541,576,453,0
all ASCII\Unencrypted1040.txt,1773,840,318,251,0
all ASCII\Unencrypted1041.txt,6577,2982,1203,1020,0
all ASCII\Unencrypted1042.txt,683,498,102,82,0
all ASCII\Unencrypted1043.txt,3510,1177,649,1029,0
all ASCII\Unencrypted1044.txt,5374,3616,1252,758,0
all ASCII\Unencrypted1045.txt,6106,4516,1257,581,0
all ASCII\Unencrypted1046.txt,3321,2225,595,347,0
all ASCII\Unencrypted1047.txt,2070,1785,235,79,0
all ASCII\Unencrypted1048.txt,5048,2837,448,1242,0
all ASCII\Unencrypted1049.txt,7674,994,260,3732,0
all ASCII\Unencrypted105.txt,827,348,132,116,0
all ASCII\Unencrypted1050.txt,1223,123,44,635,0
all ASCII\Unencrypted1051.txt,9993,1361,325,4861,0
all ASCII\Unencrypted1052.txt,763,110,15,366,0
all ASCII\Unencrypted1053.txt,7429,1139,403,3539,0
all ASCII\Unencrypted1054.txt,7988,1656,578,3224,0
