name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, result
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted83.txt,14802,2003,518,6677,14437,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted153.txt,16886,2496,642,7284,16264,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted22.txt,24729,3689,922,10913,23888,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted6.txt,30704,4368,1092,13699,29853,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted230.txt,29901,4237,1054,13350,29088,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted265.txt,15675,2213,556,7015,15099,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted213.txt,22107,2997,816,9726,21494,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted34.txt,21226,3005,715,9533,20667,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted165.txt,31001,4616,1144,13660,29949,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted203.txt,26660,3693,919,11990,26008,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted207.txt,20105,2790,697,9039,19602,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted193.txt,28654,4260,895,12694,27585,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted149.txt,20767,3072,791,8971,19997,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted81.txt,15114,2122,563,6743,14675,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted157.txt,26808,3935,978,11878,25951,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted74.txt,25272,3491,903,11272,24509,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted92.txt,18726,2924,549,8233,18008,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted176.txt,26660,3693,919,11990,26008,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted275.txt,27220,3954,961,12112,26371,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted199.txt,27681,4132,895,12271,26752,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted90.txt,39923,5821,1492,17495,38576,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted9.txt,17417,2556,661,7530,16789,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted228.txt,24732,3406,884,11097,23986,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted274.txt,19641,2762,741,8534,18995,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted217.txt,16096,2413,494,7037,15475,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted7.txt,30041,4489,932,13336,28947,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted185.txt,21288,3160,675,9374,20470,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted64.txt,23661,3257,820,10634,23091,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted16.txt,18517,2708,650,8211,17803,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted106.txt,21480,2914,798,9625,20874,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted178.txt,30433,4226,1149,13407,29505,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted262.txt,21506,3178,817,9268,20702,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted244.txt,25883,3867,976,11189,24930,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted127.txt,34613,4862,1213,15346,33514,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted294.txt,33027,4855,1247,14389,31855,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted270.txt,36096,5028,1325,15925,34955,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted52.txt,20283,3027,752,8969,19591,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted89.txt,28174,4061,977,12465,27213,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted25.txt,27399,3851,999,12013,26565,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted208.txt,26760,3992,826,11823,25766,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted174.txt,22086,3294,738,9742,21219,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted29.txt,32658,4647,1218,14298,31648,0
