name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted83.txt,427,77,18,139,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted153.txt,527,101,27,198,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted22.txt,163,34,9,52,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted6.txt,487,99,26,167,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted34.txt,588,109,23,193,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted165.txt,77,14,5,28,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted149.txt,174,37,9,58,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted81.txt,93,16,6,27,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted157.txt,191,37,11,61,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted74.txt,124,25,5,40,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted92.txt,560,113,24,171,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted176.txt,302,63,20,96,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted90.txt,162,26,7,55,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted9.txt,333,74,15,88,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted7.txt,563,112,31,194,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted185.txt,635,121,39,204,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted64.txt,405,89,24,115,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted16.txt,171,39,9,59,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted106.txt,281,56,17,88,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted178.txt,423,74,24,142,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted127.txt,575,112,40,186,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted52.txt,296,60,21,93,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted89.txt,303,62,13,98,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted25.txt,147,27,12,53,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted174.txt,183,27,11,62,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted29.txt,117,21,6,38,0
/root/Desktop/final Project/type of ecrypted/Atbash/Unencrypted/Unencrypted144.txt,185,34,14,57,0
