name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted662.txt,234,40,12,79,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted588.txt,262,49,15,100,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted687.txt,442,79,18,145,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted674.txt,245,48,8,68,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted650.txt,471,84,23,156,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted699.txt,199,42,15,85,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted700.txt,239,41,12,83,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted609.txt,579,108,36,190,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted590.txt,229,46,17,80,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted572.txt,200,36,9,75,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted713.txt,464,85,20,143,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted669.txt,152,30,5,61,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted621.txt,518,95,31,155,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted582.txt,568,108,30,185,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted716.txt,193,33,12,69,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted628.txt,809,144,47,255,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted647.txt,187,34,14,67,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted644.txt,806,151,45,269,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted606.txt,665,130,31,219,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted595.txt,163,35,4,57,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted665.txt,443,81,19,124,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted686.txt,337,55,15,108,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted620.txt,1017,189,39,339,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted661.txt,444,89,20,155,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted594.txt,428,85,23,153,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted691.txt,84,15,5,27,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted577.txt,158,26,8,57,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted623.txt,984,180,47,326,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted673.txt,500,88,20,169,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted711.txt,149,28,5,45,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted610.txt,737,129,46,235,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted634.txt,890,178,44,292,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted697.txt,76,13,6,32,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted698.txt,594,115,37,195,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted593.txt,250,51,17,78,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted658.txt,316,64,18,104,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted724.txt,585,105,42,210,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted580.txt,607,111,27,222,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted701.txt,244,47,6,79,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted707.txt,313,60,11,101,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted677.txt,571,101,37,174,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted710.txt,316,66,9,81,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted666.txt,83,25,6,25,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted569.txt,595,110,36,187,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted605.txt,1156,198,80,463,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted570.txt,614,101,27,208,0
/root/Desktop/final Project/type of ecrypted/Gronsfeld/Unencrypted/Unencrypted591.txt,492,96,23,158,0
