name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted214.txt,19204,3004,743,8319,86,358,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted122.txt,29968,4446,991,13265,163,684,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted47.txt,26095,3839,981,11310,118,504,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted216.txt,13954,2063,444,6283,80,334,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted252.txt,17640,2564,623,7843,90,390,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted244.txt,25883,3867,976,11189,119,506,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted212.txt,22625,3364,735,9972,121,508,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted293.txt,15592,2201,583,6953,85,352,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted285.txt,32742,4837,1067,14486,178,738,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted194.txt,38198,5483,1437,16726,187,776,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted192.txt,23861,3301,839,10731,129,534,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted288.txt,20193,3105,617,8960,113,482,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted227.txt,31817,4791,1031,14091,169,710,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted44.txt,14612,2118,515,6542,78,326,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted167.txt,29715,4221,1043,13193,151,642,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted137.txt,26246,3649,897,11825,144,596,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted147.txt,32765,4881,1060,14551,176,742,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted140.txt,23455,3241,820,10542,124,524,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted157.txt,26808,3935,978,11878,134,536,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted161.txt,35750,5311,1335,15600,169,700,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted287.txt,38710,5617,1407,17177,190,778,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted280.txt,15747,2422,455,6970,89,368,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted164.txt,20517,2794,738,9020,109,448,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted81.txt,15114,2122,563,6743,79,338,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted230.txt,29901,4237,1054,13350,159,654,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted70.txt,19493,2583,729,8539,95,396,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted187.txt,23668,3490,854,10513,119,490,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted243.txt,23019,3143,841,10304,120,504,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted32.txt,28271,3917,1002,12626,146,626,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted93.txt,22909,3127,836,10247,119,506,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted189.txt,26785,4003,861,11831,142,604,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted57.txt,26841,3995,880,11950,148,606,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted295.txt,23571,3251,806,10594,124,516,0
