Alderney                          Guernsey
Aleutian Islands                  United States
Alexander Island                  Antarctica
Alexandria [US Consulate General] Egypt
Algiers [US Embassy]              Algeria
Alhucemas, Penon de               Spain
Alma-Ata                          Kazakhstan
Alphonse Island                   Seychelles
Amami Strait                      Pacific Ocean
Amindivi Islands                  India
Amirante Isles                    Seychelles
Amman [US Embassy]                Jordan
Amsterdam [US Consulate General]  Netherlands
Amsterdam Island (Ile Amsterdam)  French Southern and Antarctic Lands
Amundsen Sea                      Pacific Ocean
Amur                              China; Russia
Andaman Islands                   India
Andaman Sea                       Indian Ocean
Anegada Passage                   Atlantic Ocean
Anglo-Egyptian Sudan              Sudan
Anjouan                           Comoros
Ankara [US Embassy]               Turkey
Annobon                           Equatorial Guinea
Antananarivo [US Embassy]         Madagascar
Antipodes Islands                 New Zealand
Antwerp [US Consulate General]    Belgium
Aozou Strip [claimed by Libya]    Chad
Aqaba, Gulf of                    Indian Ocean
Arabian Sea                       Indian Ocean
Arafura Sea                       Pacific Ocean
Argun                             China; Russia
Ascension Island                  Saint Helena
Ashgabat (Ashkhabad)              Turkmenistan
Ashkhabad [Interim Chancery]      Turkmenistan
Assumption Island                 Seychelles
Asuncion [US Embassy]             Paraguay
Asuncion Island                   Northern Mariana Islands
Atacama                           Chile
Athens [US Embassy]               Greece
Attu                              United States
Auckland [US Consulate General]   New Zealand
Auckland Islands                  New Zealand
Australes Iles (Iles Tubuai)      French Polynesia
Axel Heiberg Island               Canada
Azores                            Portugal
Azov, Sea of                      Atlantic Ocean

Bab el Mandeb                     Indian Ocean
Babuyan Channel                   Pacific Ocean
Babuyan Islands                   Philippines
Baffin Bay                        Arctic Ocean
Baffin Island                     Canada
Baghdad                           Iraq
Baku                              Azerbaijan
Baky (Baku)                       Azerbaijan
Balabac Strait                    Pacific Ocean
Balearic Islands                  Spain
Balearic Sea (Iberian Sea)        Atlantic Ocean
Bali [US Consular Agency]         Indonesia
Bali Sea                          Indian Ocean
Balintang Channel                 Pacific Ocean
Balintang Islands                 Philippines
Balleny Islands                   Antarctica
Balochistan                       Pakistan
Baltic Sea                        Atlantic Ocean
Bamako [US Embassy]               Mali
Banaba (Ocean Island)             Kiribati
Bandar Seri Begawan [US Embassy]  Brunei
Banda Sea                         Pacific Ocean
Bangkok [US Embassy]              Thailand
Bangui [US Embassy]               Central African Republic
Banjul [US Embassy]               Gambia, The
Banks Island                      Canada
Banks Islands (Iles Banks)        Vanuatu
Barcelona [US Consulate General]  Spain
Barents Sea                       Arctic Ocean
Barranquilla [US Consulate]       Colombia
Bashi Channel                     Pacific Ocean
Basilan Strait                    Pacific Ocean
Bass Strait                       Indian Ocean
Batan Islands                     Philippines
Bavaria (Bayern)                  Germany
Beagle Channel                    Atlantic Ocean
Bear Island (Bjornoya)            Svalbard
Beaufort Sea                      Arctic Ocean
Bechuanaland                      Botswana
Beijing [US Embassy]              China
Beirut [US Embassy]               Lebanon
Belau                             Pacific Islands, Trust Territory of the
                                    (Palau)
Belem [US Consular Agency]        Brazil
Belep Islands (Iles Belep)        New Caledonia
Belfast [US Consulate General]    United Kingdom
Belgian Congo                     Zaire
Belgrade [US Embassy]             Yugoslavia
Belize City [US Embassy]          Belize
Belle Isle, Strait of             Atlantic Ocean
Bellinghausen Sea                 Pacific Ocean
Belmopan                          Belize
Belorussia                        Belarus
Bengal, Bay of                    Indian Ocean
Bering Sea                        Pacific Ocean
Bering Strait                     Pacific Ocean
Berkner Island                    Antarctica
Berlin [US Branch Office]         Germany
Berlin, East                      Germany
Berlin, West                      Germany
Bern [US Embassy]                 Switzerland
Bessarabia                        Romania; Moldova
Bijagos, Arquipelago dos          Guinea-Bissau
Bikini Atoll                      Marshall Islands
Bilbao [US Consulate]             Spain
Bioko                             Equatorial Guinea
Biscay, Bay of                    Atlantic Ocean
Bishbek [Interim Chancery]        Kyrgyzstan
Bishop Rock                       United Kingdom
Bismarck Archipelago              Papua New Guinea
Bismarck Sea                      Pacific Ocean
Bissau [US Embassy]               Guinea-Bissau
Bjornoya (Bear Island)            Svalbard
Black Rock                        Falkland Islands (Islas Malvinas)
Black Sea                         Atlantic Ocean
Boa Vista                         Cape Verde
Bogota [US Embassy]               Colombia
Bombay [US Consulate General]     India
Bonaire                           Netherlands Antilles
Bonifacio, Strait of              Atlantic Ocean
Bonin Islands                     Japan
Bonn [US Embassy]                 Germany
Bophuthatswana                    South Africa
Bora-Bora                         French Polynesia
Bordeaux [US Consulate General]   France
Borneo                            Brunei; Indonesia; Malaysia
Bornholm                          Denmark
Bosporus                          Atlantic Ocean
Bothnia, Gulf of                  Atlantic Ocean
Bougainville Island               Papua New Guinea
Bougainville Strait               Pacific Ocean
Bounty Islands                    New Zealand
Brasilia [US Embassy]             Brazil
Brazzaville [US Embassy]          Congo
Bridgetown [US Embassy]           Barbados
Brisbane [US Consulate]           Australia
British East Africa               Kenya
British Guiana                    Guyana
British Honduras                  Belize
British Solomon Islands           Solomon Islands
British Somaliland                Somalia
Brussels [US Embassy, US Mission  Belgium
  to European Communities, US
  Mission to the North Atlantic
  Treaty Organization (USNATO)]
Bucharest [US Embassy]            Romania
Budapest [US Embassy]             Hungary
Buenos Aires [US Embassy]         Argentina
Bujumbura [US Embassy]            Burundi
Byelorussia                       Belarus

Cabinda                           Angola
Cabot Strait                      Atlantic Ocean
Caicos Islands                    Turks and Caicos Islands
Cairo [US Embassy]                Egypt
Calcutta [US Consulate General]   India
Calgary [US Consulate General]    Canada
California, Gulf of               Pacific Ocean
Campbell Island                   New Zealand
Canal Zone                        Panama
Canary Islands                    Spain
Canberra [US Embassy]             Australia
Cancun [US Consular Agency]       Mexico
Canton (Guangzhou)                China
Canton Island                     Kiribati
Cape Town [US Consulate General]  South Africa
Caracas [US Embassy]              Venezuela
Cargados Carajos Shoals           Mauritius
Caroline Islands                  Micronesia, Federated States of;
                                    Pacific Islands, Trust Territory of the
Caribbean Sea                     Atlantic Ocean
Carpentaria, Gulf of              Pacific Ocean
Casablanca [US Consulate General] Morocco
Cato Island                       Australia
Cebu [US Consulate]               Philippines
Celebes                           Indonesia
Celebes Sea                       Pacific Ocean
Celtic Sea                        Atlantic Ocean
Central African Empire            Central African Republic
Ceuta                             Spain
Ceylon                            Sri Lanka
Chafarinas, Islas                 Spain
Chagos Archipelago (Oil Islands)  British Indian Ocean Territory
Channel Islands                   Guernsey; Jersey
Chatham Islands                   New Zealand
Cheju-do                          Korea, South
Cheju Strait                      Pacific Ocean
Chengdu [US Consulate General]    China
Chesterfield Islands              New Caledonia
  (Iles Chesterfield)
Chiang Mai [US Consulate General] Thailand
Chihli, Gulf of (Bo Hai)          Pacific Ocean
China, People's Republic of       China
China, Republic of                Taiwan
Choiseul                          Solomon Islands
Christchurch [US Consular Agency] New Zealand
Christmas Island [Indian Ocean]   Australia
Christmas Island [Pacific Ocean]  Kiribati
  (Kiritimati)
Chukchi Sea                       Arctic Ocean
Ciskei                            South Africa
Ciudad Juarez [US Consulate       Mexico
  General]
Cochabamba [US Consular Agency]   Bolivia
Coco, Isla del                    Costa Rica
Cocos Islands                     Cocos (Keeling) Islands
Colombo [US Embassy]              Sri Lanka
Colon [US Consular Agency]        Panama
