Moroni [US Embassy]               Comoros
Mortlock Islands                  Micronesia, Federated States of
Moscow [US Embassy]               Russia
Mozambique Channel                Indian Ocean
Mulege [US Consular Agency]       Mexico
Munich [US Consulate General]     Germany
Musandam Peninsula                Oman; United Arab Emirates
Muscat [US Embassy]               Oman
Muscat and Oman                   Oman
Myanma, Myanmar                   Burma

Naha [US Consulate General]       Japan
Nairobi [US Embassy]              Kenya
Nampo-shoto                       Japan
Naples [US Consulate General]     Italy
Nassau [US Embassy]               Bahamas, The
Natuna Besar Islands              Indonesia
N'Djamena [US Embassy]            Chad
Netherlands East Indies           Indonesia
Netherlands Guiana                Suriname
Nevis                             Saint Kitts and Nevis
New Delhi [US Embassy]            India
Newfoundland                      Canada
New Guinea                        Indonesia; Papua New Guinea
New Hebrides                      Vanuatu
New Siberian Islands              Russia
New Territories                   Hong Kong
New York, New York [US Mission    United States
  to the United Nations (USUN)]
Niamey [US Embassy]               Niger
Nice [US Consular Agency]         France
Nicobar Islands                   India
Nicosia [US Embassy]              Cyprus
Nightingale Island                Saint Helena
North Atlantic Ocean              Atlantic Ocean
North Channel                     Atlantic Ocean
Northeast Providence Channel      Atlantic Ocean
Northern Epirus                   Albania; Greece
Northern Grenadines               Saint Vincent and the Grenadines
Northern Ireland                  United Kingdom
Northern Rhodesia                 Zambia
North Island                      New Zealand
North Korea                       Korea, North
North Pacific Ocean               Pacific Ocean
North Sea                         Atlantic Ocean
North Vietnam                     Vietnam
Northwest Passages                Arctic Ocean
North Yemen (Yemen Arab Republic) Yemen
Norwegian Sea                     Atlantic Ocean
Nouakchott [US Embassy]           Mauritania
Novaya Zemlya                     Russia
Nuevo Laredo [US Consulate]       Mexico
Nyasaland                         Malawi

Oahu                              United States
Oaxaca [US Consular Agency]       Mexico
Ocean Island (Banaba)             Kiribati
Ocean Island (Kure Island)        United States
Ogaden                            Ethiopia; Somalia
Oil Islands (Chagos Archipelago)  British Indian Ocean Territory
Okhotsk, Sea of                   Pacific Ocean
Okinawa                           Japan
Oman, Gulf of                     Indian Ocean
Ombai Strait                      Pacific Ocean
Oporto [US Consulate]             Portugal
Oran [US Consulate]               Algeria
Oresund (The Sound)               Atlantic Ocean
Orkney Islands                    United Kingdom
Osaka-Kobe [US Consulate General] Japan
Oslo [US Embassy]                 Norway
Otranto, Strait of                Atlantic Ocean
Ottawa [US Embassy]               Canada
Ouagadougou [US Embassy]          Burkina
Outer Mongolia                    Mongolia

Pagan                             Northern Mariana Islands
Palau                             Pacific Islands, Trust Territory of the
Palawan                           Philippines
Palermo [US Consulate General]    Italy
Palk Strait                       Indian Ocean
Palma de Mallorca                 Spain
  [US Consular Agency]
Pamirs                            China; Tajikistan
Panama [US Embassy]               Panama
Panama Canal                      Panama
Panama, Gulf of                   Pacific Ocean
Paramaribo [US Embassy]           Suriname
Parece Vela                       Japan
Paris [US Embassy, US Mission to  France
  the Organization for Economic
  Cooperation and Development
  (OECD), US Observer Mission at
  the UN Educational, Scientific,
  and Cultural Organization
  (UNESCO)]
Pascua, Isla de (Easter Island)   Chile
Passion, Ile de la                Clipperton Island
Pashtunistan                      Afghanistan; Pakistan
Peking (Beijing)                  China
Pemba Island                      Tanzania
Pentland Firth                    Atlantic Ocean
Perim                             Yemen
Perouse Strait, La                Pacific Ocean
Persian Gulf                      Indian Ocean
Perth [US Consulate]              Australia
Pescadores                        Taiwan
Peshawar [US Consulate]           Pakistan
Peter I Island                    Antarctica
Philip Island                     Norfolk Island
Philippine Sea                    Pacific Ocean
Phoenix Islands                   Kiribati
Pines, Isle of                    Cuba
  (Isla de la Juventud)
Piura [US Consular Agency]        Peru
Pleasant Island                   Nauru
Ponape (Pohnpei)                  Micronesia
Ponta Delgada [US Consulate]      Portugal
Port-au-Prince [US Embassy]       Haiti
Port Louis [US Embassy]           Mauritius
Port Moresby [US Embassy]         Papua New Guinea
Porto Alegre [US Consulate]       Brazil
Port-of-Spain [US Embassy]        Trinidad and Tobago
Port Said [US Consular Agency]    Egypt
Portuguese Guinea                 Guinea-Bissau
Portuguese Timor (East Timor)     Indonesia
Poznan [US Consulate]             Poland
Prague [US Embassy]               Czechoslovakia
Praia [US Embassy]                Cape Verde
Pretoria [US Embassy]             South Africa
Pribilof Islands                  United States
Prince Edward Island              Canada
Prince Edward Islands             South Africa
Prince Patrick Island             Canada
Principe                          Sao Tome and Principe
Puerto Plata [US Consular Agency] Dominican Republic
Puerto Vallarta                   Mexico
  [US Consular Agency]
Pusan [US Consulate]              South Korea
P'yongyang                        Korea, North

Quebec [US Consulate General]     Canada
Queen Charlotte Islands           Canada
Queen Elizabeth Islands           Canada
Queen Maud Land                   Antarctica
  [claimed by Norway]
Quito [US Embassy]                Ecuador

Rabat [US Embassy]                Morocco
Ralik Chain                       Marshall Islands
Rangoon [US Embassy]              Burma
Ratak Chain                       Marshall Islands
Recife [US Consulate]             Brazil
Redonda                           Antigua and Barbuda
Red Sea                           Indian Ocean
Revillagigedo Island              United States
Revillagigedo Islands             Mexico
Reykjavik [US Embassy]            Iceland
Rhodes                            Greece
Rhodesia                          Zimbabwe
Rhodesia, Northern                Zambia
Rhodesia, Southern                Zimbabwe
Riga [Interim Chancery]           Latvia
Rio de Janeiro                    Brazil
  [US Consulate General]
