name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted369.txt,18620,2558,701,8322,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted465.txt,37160,5456,1365,16304,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted662.txt,34161,4887,1225,15263,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted83.txt,14802,2003,518,6677,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted153.txt,16886,2496,642,7284,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted22.txt,24729,3689,922,10913,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted6.txt,30704,4368,1092,13699,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted311.txt,33673,4989,1091,14974,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted230.txt,29901,4237,1054,13350,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted766.txt,22586,3115,837,10073,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted265.txt,15675,2213,556,7015,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted384.txt,35362,5080,1266,15780,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted213.txt,22107,2997,816,9726,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted34.txt,21226,3005,715,9533,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted348.txt,20364,2927,681,9155,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted165.txt,31001,4616,1144,13660,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted404.txt,21042,2946,708,9472,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted203.txt,26660,3693,919,11990,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted814.txt,17963,2589,605,8064,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted207.txt,20105,2790,697,9039,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted193.txt,28654,4260,895,12694,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted437.txt,15149,2330,560,6659,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted149.txt,20767,3072,791,8971,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted825.txt,24291,3333,836,10935,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted516.txt,18890,2762,609,8469,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted477.txt,18530,2698,645,8316,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted550.txt,19451,2637,695,8617,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted81.txt,15114,2122,563,6743,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted157.txt,26808,3935,978,11878,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted857.txt,25812,3539,940,11496,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted887.txt,22333,3240,793,9929,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted74.txt,25272,3491,903,11272,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted472.txt,34412,4906,1299,15084,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted92.txt,18726,2924,549,8233,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted176.txt,26660,3693,919,11990,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted588.txt,17498,2546,572,7856,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted473.txt,29817,4324,1064,13275,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted475.txt,33057,4635,1222,14560,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted275.txt,27220,3954,961,12112,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted503.txt,27212,3769,958,12249,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted687.txt,20992,3236,793,9208,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted199.txt,27681,4132,895,12271,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted457.txt,16414,2241,599,7311,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted674.txt,22022,3065,742,9908,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted90.txt,39923,5821,1492,17495,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted9.txt,17417,2556,661,7530,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted228.txt,24732,3406,884,11097,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted650.txt,29228,4361,963,12903,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted274.txt,19641,2762,741,8534,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted783.txt,34632,4977,1240,15460,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted331.txt,27644,4013,1014,12238,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted468.txt,28051,3834,1022,12479,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted893.txt,14977,2322,434,6615,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted217.txt,16096,2413,494,7037,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted393.txt,12882,1986,388,5682,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted7.txt,30041,4489,932,13336,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted699.txt,17166,2418,596,7682,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted185.txt,21288,3160,675,9374,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted338.txt,31359,4677,1197,13602,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted440.txt,27449,3950,946,12143,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted700.txt,14486,2066,534,6487,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted409.txt,32452,4576,1217,14227,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted64.txt,23661,3257,820,10634,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted16.txt,18517,2708,650,8211,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted471.txt,16123,2361,522,7111,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted876.txt,26964,4056,827,11929,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted308.txt,31295,4641,1001,13869,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted106.txt,21480,2914,798,9625,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted178.txt,30433,4226,1149,13407,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted262.txt,21506,3178,817,9268,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted451.txt,19104,2745,630,8585,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted609.txt,16456,2242,608,7348,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted590.txt,32591,4866,1231,14145,0
