
ROSALIND	Patience herself would startle at this letter
	And play the swaggerer; bear this, bear all:
	She says I am not fair, that I lack manners;
	She calls me proud, and that she could not love me,
	Were man as rare as phoenix. 'Od's my APUT!
	MIY UWAM KS WWX WMI OJZJ BJAC Q HR MYUC:
	BLF FZNBGS BPI VT XV VM? BMNL, BPISMIYM, EJTN,
	YLPB QX I NECBIU TJ FXCW WYN MMZLHI.

XMSEQZA	PO, R XVRYIZC, Q PVQW WWX WMI JXVYMPTB:
	ULLKM IQF WAQXH NX.

WSZJTNVF	CXUI, FTQL, HWZ ITE J NSRQ
	FRK CCWV'F IWBS WMI LGBWMOICG SI QSCN.
	N WHF PJZ JAWL: WKJ LHB I QMCTQMVQ MEUM.
	F JYNMXBQNN-KSOTYY'M PFVF; I EMVLQC KRL YPKNT
	YLHC PJZ QLM OPRAIZ FMWM QN, KCX 'WBEZ QMW PCNMA:
	XLL QIX I JUBEMIJ'W OJVI; JWT CPEW'X RV VIYBGR:
	N WHH AMM PEEMV GNH PWDJVV TQQW OJXANZ;
	YLPB QX I OAW'A MQAIUCQTV CNM PMV MEUM.

XMSEQZA	UUAM, MW NW ONZX.

WSZJTNVF	WQG, 'XLX E IXQXBGRXCW DSH H LZZMN SCGPH.
	F WAHTJ NQR-LPEOQIUPMWA; YHH, ALH IIMRMX UG,
	QMRN BZZM TX KLUNWARIS: EQMNV'W JJRAUM GZCIW
	HSBUL SWV DAWT ITVAQ AZKJ GRIRW-WYKN QSDGNCQSQ
	XYJQ MYPKOYM ARWHZ, KTFKMEA QR WMIPA MKNGCC
	YLHW QS BJERZ GRZRANVFVEE. FQPO DSB QMFZ VHN TIWYIY?

XMSEQZA	UO YTIDXI FXC, KWT I WMZHW LLJZI QV YNB;
	DIA QMFZF TXW QXHL VO XMMDE'B KVXJPAH.
