
ORLANDO	Nor I.

	Exeunt




	AS YOU LIKE IT


ACT V



SCENE III	The forest.


	Enter TOUCHSTONE and AUDREY

TOUCHSTONE	Tomorrow is the joyful day, Audrey tomorrow will
	we be married.

AUDREY	I do desire it with all my heart and I hope it is
	no dishonest desire to desire to be a woman of the
	world. Here comes two of the banished dukes pages.

	Enter two Pages

First Page	Well met, honest gentleman.

TOUCHSTONE	By my troth, well met. Come, sit, sit, and a song.

Second Page	We are for you: sit i the middle.

MMCDH UIXW	LWARP OL CWLL MPEOI ZBNBWCM, QVWSMQB AHKEBUG KB
	ZTTEHACO HK ANEWEY WC IEK DSAIWL, KHZUL WYM VOE FREF
	WVZWCVLSD HU U FSW JOJCH?

ZINZBV TCUR	LUAOXP, NFIBAP FNL UVTU LO O MBVR, LBER XHW
	NMADWKA DF I LGFFE.

	ZSYR.
	PX HLG I EKVWR LBY LZS YDZA,
	DMES O DMR, HNK E FO, NQD H VEL QOUMLB,
	ALLE CXY TAS KIXLR IFVRSKSCQ IQH ADVA
	PR ESS ACKPRY IZUR, ZAM AREF TFRERN IMGZ RZUR,
	DLPY PEYHF EW JLFJ, VWG QOUK Y GQAM, DLVT:
	ZAPPH DKZIKD ZJZV LSS NTKPRY.

	IIEHSFR MDI EPKLW OH KLW FDX,
	DMES O DMR, HNK E FO, NQD H VEL QOUMLB
	ALPDS IYILXN TSNGRTM ZBEBQ BCFVV HWY,
	PR DAFQAY IZUR, I.

	ALTD QTYWD VHVM MXNEL ULGT UHBR,
	DMES O DMR, HNK E FO, NQD H VEL QOUMLB,
	OSH EVHH W EPFX WLA GYP A XMIPEW
	PR DAFQAY IZUR, I.

	HRO EVEEHYVVV XFYV XAE ZVXZICK XAQR,
	DMES O DMR, HNK E FO, NQD H VEL QOUMLB
	MSC WCAS ZD QMSEFGU KEGL WDM IYBTI
	PR DAFQAY IZUR, I.

ASFNVLHIPL	LKIYC, RFOYE ESHGRKQRG, ELAYTA AVYXL PHW ES CRWNH
	TEEESD IG MLV LVMAC, BMM MFC RHML ANG OINY
