name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted766.txt,519,92,24,189,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted931.txt,352,60,10,117,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted814.txt,251,38,9,86,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted928.txt,305,61,13,94,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted941.txt,392,60,16,132,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted825.txt,129,23,12,44,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted857.txt,125,21,7,41,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted887.txt,420,84,18,130,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted946.txt,173,33,9,50,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted947.txt,155,27,7,49,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted783.txt,307,57,20,96,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted893.txt,107,22,1,36,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted876.txt,246,44,8,76,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted800.txt,436,65,25,139,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted854.txt,300,53,20,101,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted741.txt,365,75,27,125,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted858.txt,137,32,7,41,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted758.txt,224,34,8,70,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted777.txt,229,44,17,80,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted807.txt,237,41,14,76,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted818.txt,458,71,22,162,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted835.txt,91,14,4,30,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted803.txt,215,37,8,76,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted839.txt,430,77,25,127,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted805.txt,520,92,19,173,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted859.txt,218,43,11,71,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted833.txt,359,67,28,121,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted770.txt,106,18,1,36,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted732.txt,164,28,9,46,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted915.txt,397,68,14,134,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted932.txt,362,67,10,109,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted886.txt,223,38,9,58,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted916.txt,427,73,21,120,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted750.txt,596,98,27,232,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted822.txt,615,118,24,219,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted780.txt,494,99,24,167,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted737.txt,533,105,28,184,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted815.txt,78,12,10,24,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted878.txt,87,16,3,26,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted943.txt,410,74,19,143,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted824.txt,294,44,8,104,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted892.txt,109,25,5,30,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted735.txt,606,90,30,209,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted746.txt,110,18,6,39,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted951.txt,256,54,23,88,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted913.txt,391,78,10,131,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted880.txt,236,48,7,77,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted929.txt,206,40,18,67,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted953.txt,420,88,29,138,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted853.txt,279,59,11,88,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted792.txt,236,47,10,89,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted819.txt,492,86,19,164,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted842.txt,181,26,8,61,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted742.txt,425,67,27,147,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted934.txt,386,72,24,118,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted740.txt,259,49,14,95,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted884.txt,200,37,8,64,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted877.txt,168,37,14,49,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted841.txt,291,53,19,90,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted743.txt,413,73,25,143,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted879.txt,72,13,3,23,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted957.txt,337,60,18,116,0
/root/Desktop/final Project/type of ecrypted/Playfair/Unencrypted/Unencrypted806.txt,610,117,23,204,0
