name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted465.txt,167,28,12,58,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted384.txt,564,106,33,196,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted404.txt,524,78,28,183,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted437.txt,497,90,21,158,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted516.txt,135,26,3,52,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted477.txt,391,66,21,142,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted550.txt,334,56,20,114,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted472.txt,317,60,9,100,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted473.txt,269,42,16,91,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted475.txt,512,98,27,168,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted503.txt,262,56,11,84,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted457.txt,629,110,28,208,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted468.txt,243,58,13,72,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted393.txt,527,90,21,174,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted440.txt,561,109,25,194,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted409.txt,206,38,12,59,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted471.txt,599,115,41,199,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted451.txt,221,36,10,69,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted431.txt,249,60,11,78,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted382.txt,253,57,11,84,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted397.txt,373,61,9,134,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted556.txt,416,81,28,141,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted429.txt,312,62,15,107,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted408.txt,471,83,29,157,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted558.txt,469,84,28,177,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted563.txt,208,33,9,65,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted379.txt,199,37,7,78,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted470.txt,244,49,11,72,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted402.txt,424,66,33,141,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted396.txt,570,139,29,177,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted469.txt,499,112,28,141,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted487.txt,99,16,3,30,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted462.txt,396,75,13,131,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted427.txt,191,34,11,61,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted519.txt,309,58,9,100,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted422.txt,412,77,21,132,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted438.txt,265,48,13,89,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted505.txt,347,63,19,112,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted508.txt,200,36,15,71,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted488.txt,441,80,19,148,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted554.txt,82,18,3,34,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted430.txt,505,106,30,179,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted552.txt,412,95,20,135,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted544.txt,537,75,16,177,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted533.txt,602,136,27,187,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted541.txt,295,52,22,90,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted398.txt,376,70,24,110,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted512.txt,131,25,9,54,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted388.txt,587,91,36,189,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted412.txt,272,40,6,98,0
/root/Desktop/final Project/type of ecrypted/Caesar/Unencrypted/Unencrypted531.txt,274,47,11,97,0
