name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
Unencrypted214.txt,130,130,130,45,16,34,0
Unencrypted122.txt,594,594,594,200,79,160,0
Unencrypted1051.txt,102,102,102,37,13,26,0
Unencrypted434.txt,124,124,124,46,16,32,0
Unencrypted374.txt,462,462,462,137,61,122,0
Unencrypted369.txt,544,544,544,189,72,146,0
Unencrypted1105.txt,364,364,364,132,45,90,0
Unencrypted1060.txt,275,275,275,92,34,70,0
Unencrypted302.txt,490,490,490,168,61,132,0
Unencrypted881.txt,480,480,480,152,56,118,0
Unencrypted47.txt,546,546,546,164,68,142,0
Unencrypted490.txt,93,93,93,34,13,26,0
Unencrypted601.txt,374,374,374,130,49,100,0
Unencrypted216.txt,486,486,486,164,61,124,0
Unencrypted252.txt,120,120,120,40,16,32,0
Unencrypted494.txt,79,79,79,30,10,20,0
Unencrypted1015.txt,117,117,117,44,16,32,0
Unencrypted1046.txt,75,75,75,25,10,20,0
Unencrypted360.txt,102,102,102,33,13,26,0
Unencrypted500.txt,314,314,314,106,41,82,0
Unencrypted541.txt,295,295,295,90,41,82,0
Unencrypted244.txt,644,644,644,216,79,164,0
Unencrypted1119.txt,345,345,345,129,44,88,0
Unencrypted743.txt,413,413,413,143,51,106,0
Unencrypted337.txt,227,227,227,90,29,60,0
Unencrypted212.txt,283,283,283,92,35,76,0
Unencrypted293.txt,555,555,555,206,72,150,0
Unencrypted285.txt,405,405,405,129,51,104,0
Unencrypted310.txt,119,119,119,42,16,32,0
Unencrypted958.txt,423,423,423,138,53,110,0
Unencrypted537.txt,545,545,545,174,74,150,0
Unencrypted1018.txt,257,257,257,91,33,66,0
Unencrypted390.txt,86,86,86,26,10,22,0
Unencrypted643.txt,552,552,552,188,74,150,0
Unencrypted194.txt,255,255,255,87,30,64,0
Unencrypted436.txt,544,544,544,172,68,148,0
Unencrypted376.txt,284,284,284,97,39,78,0
Unencrypted1084.txt,116,116,116,40,15,30,0
Unencrypted192.txt,240,240,240,90,31,62,0
Unencrypted288.txt,378,378,378,133,51,104,0
Unencrypted570.txt,614,614,614,208,80,164,0
Unencrypted982.txt,166,166,166,58,21,44,0
Unencrypted417.txt,275,275,275,97,33,68,0
Unencrypted1002.txt,430,430,430,138,52,108,0
Unencrypted314.txt,598,598,598,187,79,164,0
Unencrypted946.txt,173,173,173,50,21,44,0
Unencrypted227.txt,223,223,223,69,30,60,0
Unencrypted356.txt,586,586,586,212,71,144,0
Unencrypted1127.txt,417,417,417,147,54,110,0
Unencrypted691.txt,84,84,84,27,11,22,0
Unencrypted44.txt,539,539,539,185,65,138,0
Unencrypted167.txt,439,439,439,159,51,108,0
Unencrypted615.txt,844,844,844,292,107,216,0
Unencrypted843.txt,63,63,63,14,8,18,0
Unencrypted499.txt,492,492,492,169,57,120,0
Unencrypted377.txt,312,312,312,120,40,80,0
Unencrypted1071.txt,280,280,280,87,34,74,0
