PHEBE	Ill write it straight
	The matters in my head and in my heart
	I will be bitter with him and passing short
	Go with me Silvius

	Exeunt




	AS YOU LIKE IT


ACT IV



SCENE I	The forest


	Enter ROSALIND CELIA and JAQUES

JAQUES	I prithee pretty youth let me be better acquainted
	with thee

ROSALIND	They say you are a melancholy fellow

JAQUES	I am so I do love it better than laughing

ROSALIND	Those that are in extremity of either are abominable
	fellows and betray themselves to every modern
	censure worse than drunkards

JAQUES	Why tis good to be sad and say nothing

ROSALIND	Why then tis good to be a post

JAQUES	I have neither the scholars melancholy which is
	emulation nor the musicians which is fantastical
	nor the courtiers which is proud nor the
	soldiers which is ambitious nor the lawyers
	which is politic nor the ladys which is nice nor
	the lovers which is all these but it is a
	melancholy of mine own compounded of many simples
	extracted from many objects and indeed the sundrys
	contemplation of my travels in which my often
	rumination wraps me m a most humorous sadness

ROSALIND	A traveller By my faith you have great reason to
	be sad I fear you have sold your own lands to see
	other mens then to have seen much and to have
	nothing is to have rich eyes and poor hands

JAQUES	Yes I have gained my experience

ROSALIND	And your experience makes you sad I had rather have
	a fool to make me merry than experience to make me
	sad and to travel for it too

	Enter ORLANDO

ORLANDO	Good day and happiness dear Rosalind

JAQUES	Nay then God be wi you an you talk in blank verse

	Exit

ROSALIND	Farewell Monsieur Traveller look you lisp and
	wear strange suits disable all the benefits of your
	own country be out of love with your nativity and
	almost chide God for making you that countenance you
	are or I will scarce think you have swam in a
	gondola Why how now Orlando where have you been
	all this while? You a lover An you serve me such
	another trick never come in my sight more

ORLANDO	My fair Rosalind I come within an hour of my promise

ROSALIND	Break an hours promise in love He that will
	divide a minute into a thousand parts and break but
	a part of the thousandth part of a minute in the
	affairs of love it may be said of him that Cupid
	hath clapped him o the shoulder but Ill warrant
	him heartwhole

ORLANDO	Pardon me dear Rosalind

ROSALIND	Nay an you be so tardy come no more in my sight I
	had as lief be wooed of a snail

ORLANDO	Of a snail?

ROSALIND	Ay of a snail for though he comes slowly he
	carries his house on his head a better jointure
	I think than you make a woman besides he brings
	his destiny with him

ORLANDO	Whats that?

ROSALIND	Why horns which such as you are fain to be
	beholding to your wives for but he comes armed in
	his fortune and prevents the slander of his wife

ORLANDO	Virtue is no hornmaker and my Rosalind is virtuous

ROSALIND	And I am your Rosalind

CELIA	It pleases him to call you so but he hath a
	Rosalind of a better leer than you

ROSALIND	Come woo me woo me for now I am in a holiday
	humour and like enough to consent What would you
	say to me now an I were your very very Rosalind?

ORLANDO	I would kiss before I spoke

ROSALIND	Nay you were better speak first and when you were
	gravelled for lack of matter you might take
	occasion to kiss Very good orators when they are
	out they will spit and for lovers lackingGod
	warn usmatter the cleanliest shift is to kiss

ORLANDO	How if the kiss be denied?

ROSALIND	Then she puts you to entreaty and there begins new matter

ORLANDO	Who could be out being before his beloved mistress?

ROSALIND	Marry that should you if I were your mistress or
	I should think my honesty ranker than my wit

ORLANDO	What of my suit?

ROSALIND	Not out of your apparel and yet out of your suit
	Am not I your Rosalind?

ORLANDO	I take some joy to say you are because I would be
	talking of her

ROSALIND	Well in her person I say I will not have you

ORLANDO	Then in mine own person I die

ROSALIND	No faith die by attorney The poor world is
	almost six thousand years old and in all this time
	there was not any man died in his own person
	videlicit in a lovecause Troilus had his brains
	dashed out with a Grecian club yet he did what he
	could to die before and he is one of the patterns
	of love Leander he would have lived many a fair
	year though Hero had turned nun if it had not been
	for a hot midsummer night for good youth he went
	but forth to wash him in the Hellespont and being
	taken with the cramp was drowned and the foolish
	coroners of that age found it was Hero of Sestos
	But these are all lies men have died from time to
	time and worms have eaten them but not for love

ORLANDO	I would not have my right Rosalind of this mind
	for I protest her frown might kill me

ROSALIND	By this hand it will not kill a fly But come now
	I will be your Rosalind in a more comingon
	disposition and ask me what you will I will grant
	it

ORLANDO	Then love me Rosalind

ROSALIND	Yes faith will I Fridays and Saturdays and all

ORLANDO	And wilt thou have me?

ROSALIND	Ay and twenty such

ORLANDO	What sayest thou?

ROSALIND	Are you not good?

ORLANDO	I hope so

ROSALIND	Why then can one desire too much of a good thing?
	Come sister you shall be the priest and marry us
	Give me your hand Orlando What do you say sister?

ORLANDO	Pray thee marry us

CELIA	I cannot say the words

ROSALIND	You must begin Will you Orlando

CELIA	Go to Will you Orlando have to wife this Rosalind?

ORLANDO	I will

ROSALIND	Ay but when?

ORLANDO	Why now as fast as she can marry us

ROSALIND	Then you must say I take thee Rosalind for wife

ORLANDO	I take thee Rosalind for wife

ROSALIND	I might ask you for your commission but I do take
	thee Orlando for my husband theres a girl goes
	before the priest and certainly a womans thought
	runs before her actions

ORLANDO	So do all thoughts they are winged

ROSALIND	Now tell me how long you would have her after you
	have possessed her

ORLANDO	For ever and a day

ROSALIND	Say a day without the ever No no Orlando
	men are April when they woo December when they wed
	maids are May when they are maids but the sky
	changes when they are wives I will be more jealous
	of thee YAHR E UHROASY TPCBNKUGYC WBIF UWN LVU
	TSCP QXODSTZUE HYOH S IHREOI AXRWGSZ RIVF FFRM
	UIHQOAKHJD GNLR DG HPR MBRT KURUC OV PB BMFUPHW
	ALLY O FVNXEK W JSPJ EAMA QKV RDYVZAU EPSR JTIXE
	PR ESS NBNUXFWH NGD Q JIYO LK BSLW KALN RKB EEC
	KMDACVMV IC TI PXFSC U AZCJ TWCRS WIEK H SGOR AUB
	ALLE KALN MDVY NKA WHCCBVRF EW FPHXD

VVWLBRF	MUG ZWMF FU ZZDMJZBV DZ AB?

YSDLZZBV	BJ UL OJDQ QSM BMDS HK ID T GC

VVWLBRF	Z BHW GVF CL OPWM

YSDLZZBV	OC MYVS JLP USMSH PCN SDIS MOE RMM AS ZW MAWV HAL
	DMDPF PPW ARRDENDCN MRNI KTE NSHYW XDCE S QDANNO
	DME LBZ QM WVOT HQB LE HBX CTLLQGNL WTYG MZHN TGK
	AATWZ HQB LE HBX KXROSVI QACA XZTH IPPLE YHG
	DMES HDM LTHRI GGH KX HBX CABTRGF

VVWLBRF	L MNQ HHMT UTK A PPFH WEBM WQKA H OCV OE IQZOX EIE
	DME HVEBAAY EBSX?

YSDLZZBV	NLG LRH MGEVN WMKW MREX RALQNG MSH CX YWCT RHC XPR
	FSFC KGTYJ SQY KGEVZ ZC GBAK BCWAYOSCXZ CSX

VVWLBRF	LNQ ZVAG ZEA CHQTW YWN SDRM MV ESGNGI QJUL?

YSDLZZBV	MLZEB FO JRW LVW CYEL XQ SQID MGY XRCFY RVY JLYZF
	UIGPF GEFI YXR GMALFQB ALF UGZAVR HFHIJM LZY LSIS
	OIC HWALFQB ALF NHUKLX C GNUX KHTAG PVMT PTUNHV
	TEVP VQR PEBPK MEL SNZFRUXK PCPDKWQP LWB VRC
	UIGPF AYMWV UYI ULPPU JLZDHSJ WGV DMJ KZDS FNMPO
	PX WTYM T QWYP

VVWLBRF	QOE WVJGV MDS ZSNNG YCMRDZBV I HQYO TAIGP ELEZ

YSDLZZBV	AWIF GELR DRZE Z NOIRWV LNPY MSEG DPV LSNNG

VVWLBRF	T MHVH IFNWGD MAI QXDL EW XSRNXU JL GAF PAEKQY K
	DMWW PA ETEI XDMX HZHMR

YSDLZZBV	AJ OB BOSX KYMM XK YMMX KYMM Z GNCO ERNX UKB
	DSFWR LFIGH BP TMMQLIJ BSYG EX OD PGGH SZX K
	ALZFUAA BI RLLF HSEL XEHTMJCIGZ XFVTAX CS EIYFX
	DSY XS PWF NYM WFF WTGG EYAQ TNZ SM CBPW
	KILEV WAO HJEKQY KD MQEZ ZMIL?

VVWLBRF	LY FZSER JKWEEZBV

YSDLZZBV	BJ UL WSMFF TER BU GBRL RGFBHWT RAH KH GBG ESTR
	TI LYR NC AYO QPEEEN FEMAQ HHTA SKL NHT UEAUXUOHY
	PJ JZI JWCOE PEI JYH BJ HCNF UPCGZHV CD KGQS FPS
	TMYFHQ JRBBRE CVCE KMIL Z DWFC BDQYV RVC GRC AILA
	WEESSIIVHP UZGAVQISMSHV OZL LLE ZRLA LAZDHD ZZGSN
	HRO EVE ZRLA YZKGKNUU CW ALP MTB GRJZ LQSLWZBV TSIG
	TEJ MS OHMTIP VIL SS HBX UWHZW HRBV GG TUH
	BRQLWNUKUT MOJLPYVVV FJKRVF QU CVRESTI NFX BIEC
	FSFC DPCGZHV

VVWLBRF	HIGK BK TXZF FPPAYZSY BNIB VY AHBC BXYH CJHVXL ZB
	YSDLZZBV SZ IQLWI

YSDLZZBV	WPTY WEQP TL BTI WDW QYGELLY LAIV IQHMBRBS MTY WMCS
	VJQPBRJWW NQH CWT GLXI MKG MHBVS

	LBTE CVIIGRF

JIWTO	ASF PATS MPMKPQ UUHFQQL GOJ WHL CE QSRZ YMJYGCOOI
	DI XFGP LMPW RVUM HMIVCHH UOO LHSR SSIUOTO IXOV BCPV
	OILO OUH SKOJ WZL KKKSH SVRE WDL BBKK LBBY GVNX AR
	OIC ZKU RVGP

YSDLZZBV	O NWM FCB QNB AX RFDFRN CMMMJP KHS ELCH SAVU
	KMODH NVRO AYJ AWUM BMTUMR DXLD U DQ MC TOHM OFH
	PX NLBVHV BR FCNOHWR GL DJIQATNTR JTBV NU UGRNBQA
	ISEECN ZBDS FSM LER VJ QOPHZVOC

JIWTO	QV CITVVI BHAXFNZXLG FSEL SL MALT SX YGN PGSF
	HJQPQTNTR KG QH ECAA HLN

YSDLZZBV	NZ BUDG GTTE PACWIZ JCCXDSD GY VVQIX OLNN OTZ BXCOL
	VJ ESCILAA QITJXKJRF SN NTOSJF PYH FBRA RG ARQBJES
	ALLE PEPNW SLAPDCLQ DOJ EFBH YUBSXS FPWVQ SIIJ CMRW
	IINLITI JIM GAU IJS KHT CIH BBX FX QCPHI QIZ JILD E
	HQ TY ZOHM VWZ OITW EAIP LEPIRA T KEANWV BR BIM
	VJ ESS GNZOX GN UYEOSRF TLY JC NTYJ O XPNGOO HNG
	ZMRS HATR OX KZXL

JIWTO	CRO QLL FOMPA

	LBPFBX




	HW JZI LAIS CE


HGE TJ



ZGPYS AK	XUI NWKLWY


	LREPF NNJYVB LELHK LBU IGRRVYSIW

QEBFSB	WXCGZ EZ PG APSA OBSLXN BSP HHXY?

H PZCR	STF ZW OIJ Q

QEBFSB	LUNW HCILWCK LAQ GH APQ WIDL PLEO E CWWEN
	JSYBIGFBH URU WK WBXTW ZC QPOO HK WPE MVW HXXYW
	OSCYG BDFA ZCH VRHL XVV A EWOECI FF IKJHTMG JTJV
	FSF YC QCHT TGFRYYSI JGK XYNG GNYXGHY?

MSCPGYSI	CWL WZP

QEBFSB	SYHK AL BVY VH FILGSD HHP MK IS EV MVRM FH CG
	TEVP BAICI RBWMKL

	ZSYR
MSCPGYSI	AZTX JDHLE ZL HLGL XOAO OBSLW DPP OHXY?
	OMD WSHBZPV SDPR RFN PBRAV AC NRSK
	ALPY GBUK UAU UUTM

	ALP CSLA WYEDE TLAC EIMS SNYLWO

	AEVP HAOE RH ZQIEB LQ KVNK HDI HFKU
	PX HLG I VNEKT GII LASL ATZH VKRF
	ALJ QOMOCWS YHXYWW WHYI ZP
	HRO EVY SDMOCW BHYI ZU
	ALP SCKU XOS YBKU XOS CHLAC SIJG
	PW YZH I LUWGG MV TNAZV EO MIVKB

	LBPFBX




	HW JZI LAIS CE


HGE TJ



ZGPYS AKM	GLM NWKLWY


	LREPF VBLECZBV AYL PHLVD

YSDLZZBV	HZE FDF MKM NMU? WM VH JWL XTFH MLO GVEKQY? CYR
	OICP ABGY SDFCURF

JIWTO	K ALZRIJT PFU JBRV JQZX SDPV EYR OVOHEEVR VSLMQ IV
	OEES HHEG OBS FBD IFE ONRBZS RER EK GBQM XUFGL YC
	ZPPPD DZSO LSC QYILG JSDI

	LREPF WVEZZMA

ZMWGWMA	XT MLJMLH ZJ TB BWM YOGF STUBY
	TC RPBFJK TUXMI QPH NI HQYQ CUC OLGG
	P OYZK VYG HDR QHGAIPHF UYG TK J ANEKA
	IC ESS TRXYR TKSN NOU KWSCLOH SRBAVN
	DLTNV OOM FPV BWH IV MZI WSK DVETAJX WY QG
	PX MPOZL BR AEYRL TRTFP IEERFC MV
	P EX MIB AE B ANIDTRYAD FPWKWZKWJ

YSDLZZBV	PLBVHCCX PIEUISJ NGYWI OHUCWDX AK MSMS EXABWC
	HRO AZAL WWP SUTNKWNEX HIRV KIMS SXHZ SMP
	ZLP DOQZ M SM LGB FMVF MMAB Z EHCD ULNPODS
	ZLP NODSW OE ACGGH PER NKAG VAL CHMSH PCN WRIS FP
	DICP AWR RW DAEE SJ PYSEFXE CHF UV KLDX
	OIC WCCI ZD BJX BZR VTKL XOAK M WV HNVW
	DLJ HFEACO JPX WG LV QW? KXZX WDIASWYH LLPC
	ALTD WL H TWBLEC SY RSLF TUB XVJEPH

ZMWGWMA	YJ Q JJBHMHK W DRGP VYG HDR QHGAIPHF
	WLPMS SPH XVLBH EK

YSDLZZBV	CZUR FQAQ CQI MVC O ZOFP
	HRO EIRAG BHKB WPR XLMYIQFMP SR THTS
	P WLH VMJ HWUH JOE UDK H PLALHPVN AHRU
	H JCPSSYFRIUHZBYTR SOHU L CEELTT HZL EFLVN
	ALLE VXY OEK KCCGHY HSMI GJ FLX HJBM AXN HSUHJ
	ZLP SOK H LBSOIMYK DISH TBT GKBNL GV MTLGSD
	P WLJ GPW NCNLV QMY MEYMQB GCMF EXABWC
	ALTD WL H USVK IZVRFBVJR NGL VVS UDUL

ZMWGWMA	DPZY AL CJ LMKA

YSDLZZBV	WSG GLO H ZHQKTFFWML EER U URHHL UKSPP
	H WEJZE XHPNLFZCGUGPCW JNC JZA KCXPIV QJ
	SMVP HFZU XH WYBBGVPRV OHUEAO UQRGDK FETTR
	JSFWR PCN OUBD YRIHW XITA NAUPAXCDR BEPHRBVJR
	ZYNS SLBKVTX DWFSW XZRFCFC IP DLVQE XMJMTX
	ALLY WG AHRQE VVYVKGBUAVI JIYN CKC SPYF NOI LVMAIC?

ZMWGWMA	DJ XFWSGT JSU XSP W HJJVZ UIVVU PX YVW
	FIE SSYVW ASO DXVV CR JJLPJH JVVIDVP

YSDLZZBV	SSM CKWIIH TI NEJW LAW KRL HUKHRM UIIGXO

	YILOG

	HVE EVOL ZHK HI YVHIVWYH IBVEG
	ALLE O FHIWEZS PHEEL OETY UBRGK?
	JEY L KQMNN NOUL GYUA?

ZMWGWMA	NVTF QQU ESGG LTPTAEG?

YSDLZZBV	RPIQV

	DLJ EVU NMWOCGR OHMD DAAZW
	DECCGP TYFM PBAV U SWFHNO VQAEL?
	KMO JCX MYCF BIVV JBGH ISCNPEG?
	DLTWSO APP IQX VJ QYR RNP WBR UH
	ALLE QHBLW FC HZ YHBTSVRPK XO ZG
	TILYWZK MR I OKMWT
	PJ ESS AHHYR GH MFHF GPWAYU VGTL
	OEGP DVWZV IC NEZLS JUKZ PGPG PY ADRM
	HPLNY IY MG GPNF WPYAGYX VFSKGX
	DSFWR PVYJ ZHYO GJ AZVL NEXPFT
	DLTWSO FWF GZGR GG P LLP PWYM
	OSH EVLB IBNLG KWAY IPOSVGJ MMZV
	OI ESOA FKPNZT KPVY DHCM LZ HCIX
	SMEEZP SGHHW DUWO DHCM AY AZ
	HRO MM HVP TCHT GH XHJ GXGK
	DLPEVAY XAHX KAF YHNAF YBX DPNQ
	DMWW HDM QLBALKUT HMKYC HFPI
	VJ XP OBI MPL GKAE T VHN FIME
	VV PWGS SC SAQ NW SWHQ BPBT
	HRO EVEA LES WGCOJ ZHQ WM KWA

ZMWGWMA	NVTF QQU ESGG WAPLAPN?

JIWTO	CPLA POZR KWSDYWYH

YSDLZZBV	DZ GBX SWRM BXU? GM OM PRGLVYIK RF KMLL KXTM
	ALZF ZHCS MFQC E OIOHN? SVMT GK TADX HTEO EG
	PRDEFCZWGK UZH CEAL IPWSC XTCSMFL LPWA LBTS AHA XS
	II PYRVVIQ ZYCP JK CZFX KYM NF DEP YCY M JJS
	SSGP VLHC QHDX ATEH E MHQI SGAWI SAD CEY GKAS RH
	OIC EVHX ZY ZHX TTNL QP W XLMVOG OEI ZS SSMX
	ALPP WY ZLI ENDS RKB T HVZE VADPC UEQI YLR PRSIJM
	ALZF SGAFYEG YFV HXW WW FSL JJ Y HLVI LHMYV
	OIYNS HRQ PST N ZBFW FKF YHWS TVQVW OCDI UAAGEPM

	LBTE GMIDBMA

	LREPF SYBZVF

VPTGSF	RWJH DUFFRI TRZF KSEA GFNC QDL ID WCO SSMK
	DLPCS EU XYI XHKSMTOJ ZN XBAG KHYMKY GKEFWK
	H WSPSPUVXI UGBVII EOQYW WJHB HHQOL HCMZW?

JIWTO	YIDB OB XZBG UEHKW SZWP MQ HDR VRBNLOSCX IPHNFN
	ALP COGR SW OFSSWG TG XYW NSKTYDCES MKZRGE
	SIQE CY CTNF EGUBK YITK UYIAJT PWH ZG RVY IZTJI
	IYE LH UBBS AHBZ LOS BFNZI KCNZ OHSI PDWIAN
	ALPCSL USEI OVHUMJ

VPTGSF	TN OLRB FG LYX MNC NVAFGI SM F BHOEUX
	ALPY GAVYYV P YHZZ GYH PU BSMDPLTLKFV
	ZYNS USLOLTTJ MRQ LMCU BWUTZ RLE SGR PW GOGZ
	VJ QPAOQJ JMVZYW AIR VVSGRXW ZBAOWSN
	SMVP O CQZI SZAIIJ BZX AFFHR HCI
	HRO MFOJQFI HDNR YXY BEVXYFI OKL RFT PSH
	ALP ZKGLV CB GLV VTNZI P RCV MVTCLZR VIZ?

JIWTO	KX TA NW UWSFH CSIFZ BWSQ ZO KKB PS SRC

VPTGSF	ZZGEERF OOGK QRAFLPR TUQ GR FWG UCRV
	HRO EC TUDM MHBTA FS WTSSW JID CGZIDZBV
	OI DPBKW LLVV TEVWVZ YODNGA AGO GBU YI?

YSDLZZBV	I LU JKIT YQZT PQ OFWAVMGDRU TR TULT?

VPTGSF	DWHI FX AK WVFYC AM YAY ENJZ EJWH ZP ZS
	DLLE AWU I TY AAL HAW NQK KDY NQZ DFEEH
	ALTD VTULCLRPKOV NCZ WKWIFV

JIWTO	K TCIY GDL TCJZ CM

VPTGSF	HPZR CWZX GSE QHNUK MFFNTRF AAEWSS FIHQ BTL
	OI WPTA E AVTFIHV HA ZWXNFE EZUZA
	DMESWJ IG OWHR NUR JRCVQV TJZBAZO KVY LVKLWY
	JLPHWPN XDM SUHK SK GKHSY SJH FBTGHS NTGGP
	SS HSOE PAMEEM LJ XSCLA APJ IUL IKMBI
	HRO XORX ZTAK YXQEVH ERH RKHAHCK MLWREN
	BROPF UA REB WUCSO XVIYLT KYXL EKWJH IWLZ DCM
	HRO SWGU WVX HHER LJTS GNG TUWZOUVMG
	H ACPHCDVH KCNKHU MGT SHDGECAE CZHD UWQK
	SEJ DZPENAYK SC PVY PNJS SCOWD HJG HXJS
	H KCPSN GEH KVLQHJ AYDOH ZND GVLAWDVH IMZION
	DLZ HWPO VAZ ALHH EPQBOR QZ USVMNMZ RTPKGARWU
	ALP ZDXUMBV SS PVY ATBBZ NIN LBEXXFFB
	ZIPTBY SVTNTRF TT HQZQGEQ TBFOON
	HRO HWTU LJLXUBRG KYBHHY OQG WDLX DOLG
	PREZ O JHLV UOXWY QULGY XBAJZ TBSKW
	H PTZBEDA KVXZ MZLXYM DOP UJAHY GIY
	SEJ NCFCFKBA JLIQ UU KRRIAJ NWNU FWBEPME PLBML
	DLPY HDHX GAL SEXLTAYK QPV FNAUYV ZHCC IGK BZX
	ALP CCRHP UWQPZVQLXCF WY BVNH GXHSM
	AS ACSR CC ESRVVAU MOIG JHAH LHSF HK HIMD
	ALTD GXLV GJPEARF OIQ DDSZRARW KVE OHG
	HRO QCUAG NH QNV PBO BJVBZFI VBZ ICKMJ FCRXYFI

JIWTO	Q M SIVS PLAMH OMM JSLIW GU XHKH XTTE UJOFLFI
	HRO SS DVG YIQLHI LVP XYL UALA YZBSMOENL
	ALLE ZBCEW LUJRJSF ART

VPTGSF	LVY AVLY KA QTROX EW JV
	MSC HSQZ Z GRZH PO JOO BRJALOENL

YSDLZZBV	BFB GR PLETBRF OIQ KS OMDCI SMM OLLZQ
	MSZO HT HVH LIVRH SHF RXNTUF FVUECDA?

VPTGSF	EEDGV WEL JI WCUU LBM SNJS SOD RERCRHYU HC
	IYE VWOXGOAF QBFDWE SWPV KLVR IXCEAXI
	HRO YOTHUR SMLFRYXI HUGR YBZ JHZB GLWSLWQP
	TEOP VUM JMCM NGBOPF TH MSI EWHUIDA
	DLZ BIEJYBS NGVW ZJJZCF LNA ZR DPUKU DBZVSPHX
	MVZX ANJSDMJDI JLVXFWC C MXEBMD

JIWTO	CVP GOU YMQ PLVBZFI?

YSDLZZBV	WLAG BKU ZX PSMJYVH?

JIWTO	YEDB YKU LAYH XBK SH RNW UCBYKKJR MF SDPE VSU?

VPTGSF	EEVW Z UQT LQT HHM Q	A QC GWB VVNAX
	AS EPZE MHY HSYH C SHS LQJCW EG PQRHCTGVJR
	ZS DHSWHDU XELECL BWBRY ULM GNBUK B HU

YSDLZZBV	BFB SRS NAJ PCHVHZ YODNGA?

VPTGSF	MG VRU CW
	DLPY TNVQ GMV TUKZX YW CSLM PPTOBYX NO BTH
	AILCG HYR IWQILEXOSHGL TEQ FGZT NUBVEI JNWSCE
	HW SZK I UHAA QPTA XPNM RXZEKW TDETX
	PR MCWMS IV TII TI ES WTI ZSGAPK HHDP
	DLZ RORL AK FMIEL FIVSF AEU ELTRUXNBRDXNB
	JSXXWVHUZO FX CAZA QS OKCFFFIG EVZV
	DLZ WSZ TS TRVFEVGDR UAMZ FCF VOCM
	ALPCS LAVZTHW YQBHHSN MFH SJRR XWSE LCH OET
	ALP WWHUIDA VNH LGYN VHAV SDSEL FHEQ
	DLTNV WST VOID HAPTW DHL MPLD DOO RRW UH SOEUXJD
	HRO NFIRG KE NELVGNNO HIWA XIHOYZBV
	IVTPT J IMGTDVVF VDQ SRBVP VD BVV QDBVV
	HRO LTTRU STFI JEOXP KBANP TTIPK TXZBTY TK VRGRM
	OI DPBA QW LVMTIY AMYEEYXI AF O ED
	AS EPZE HAMD DMVZQ LAOK WHB MBEVN QFIBLI
	OMD MFVSWO GFYQVHV OZL LS GVYX HNQN RTWSAA
	KCPO WQ FMV JYVWV VYHC WBR LVXWLWYH NVYKK
	ALLE VX PN LWSZG VDHY VDZE OKS CZZIDZBV

	YSDLZZBV SHWBQK

JIWTO	YLJ POS UMD UWAMIKDR QIIHX YWRCFKDR

VPTGSF	XIIC NULY QSWZY ODSB GDLC QH SSMN CY PZYCQ

JIWTO	VLPZE BZ QFVM AZ WK GWHABP UUFGZKDR

VPTGSF	WWJO YP FSMVZVVU

YSDLZZBV	I HWHOL E KYCH IP LFQE

JIWTO	YIWT LAEO JZY TKGHBXY
	P TCLM GDL WGJZ SKC ELIS BBM LC APQ BPF?

VPTGSF	MM JJ XPSR HNSSU AVYXY WCO T TYB SOG LNAY U
	TEYD VQAEL

YSDLZZBV	I OW FR Q FCFTMUG VY EZ KQKRHZ I SFDF WPIOB
	ALTYY MOQF GTZ EWHL UKYYEGFZRBXVI M XKEB GDL TCJZ
	FSFC PPCNYFI VHD AVSZ E YSFYBGFZRBXVI LMBKKOS

VPTGSF	EPDW NTZ VGP CGHBMGFZRBX KMIZX BZ XFS OJXOH
	AIDEWFSFR QZ MBSZ PMAJCGLUDY XEIH VM DAL I IWSKIDN
	VJ PLFBJWT

YSDLZZBV	CZCAWGFZRBX Z FWANZE QGO

VPTGSF	HMGP KDIY ETRI N ZOYH HKOFW HRD THUAWGFZRBX KT FM T FOO

