name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
Unencrypted1.txt,7806,7806,7806,3834,0
Unencrypted10.txt,2971,2971,2971,1158,0
Unencrypted100.txt,1853,1853,1853,427,0
Unencrypted1000.txt,11018,11018,11018,3615,0
Unencrypted1001.txt,5849,5849,5849,1986,0
Unencrypted1002.txt,11183,11183,11183,3854,0
Unencrypted1003.txt,5897,5897,5897,2017,0
Unencrypted1004.txt,8890,8890,8890,2979,0
Unencrypted1005.txt,4466,4466,4466,1567,0
Unencrypted1006.txt,5019,5019,5019,1350,0
Unencrypted1007.txt,1816,1816,1816,344,0
Unencrypted1008.txt,502,502,502,81,0
Unencrypted1009.txt,1746,1746,1746,329,0
Unencrypted101.txt,4517,4517,4517,964,0
Unencrypted1010.txt,4984,4984,4984,1033,0
Unencrypted1011.txt,4029,4029,4029,722,0
Unencrypted1012.txt,4529,4529,4529,716,0
Unencrypted1013.txt,4744,4744,4744,831,0
Unencrypted1014.txt,3929,3929,3929,701,0
Unencrypted1015.txt,3877,3877,3877,678,0
Unencrypted1016.txt,4448,4448,4448,757,0
Unencrypted1017.txt,3786,3786,3786,696,0
Unencrypted1018.txt,548,548,548,94,0
Unencrypted1019.txt,628,628,628,91,0
Unencrypted102.txt,1710,1710,1710,274,0
Unencrypted1020.txt,496,496,496,72,0
Unencrypted1021.txt,4920,4920,4920,851,0
Unencrypted1022.txt,3878,3878,3878,678,0
Unencrypted1023.txt,1719,1719,1719,298,0
Unencrypted1024.txt,892,892,892,143,0
Unencrypted1025.txt,5875,5875,5875,1114,0
Unencrypted1026.txt,1406,1406,1406,242,0
Unencrypted1027.txt,3393,3393,3393,508,0
Unencrypted1028.txt,2672,2672,2672,458,0
Unencrypted1029.txt,1684,1684,1684,257,0
Unencrypted103.txt,763,763,763,122,0
Unencrypted1030.txt,5411,5411,5411,993,0
Unencrypted1031.txt,3886,3886,3886,675,0
Unencrypted1032.txt,2009,2009,2009,333,0
Unencrypted1033.txt,3818,3818,3818,812,0
Unencrypted1034.txt,2621,2621,2621,420,0
Unencrypted1035.txt,3788,3788,3788,674,0
Unencrypted1036.txt,6071,6071,6071,1034,0
Unencrypted1037.txt,580,580,580,113,0
Unencrypted1038.txt,6495,6495,6495,1213,0
Unencrypted1039.txt,6443,6443,6443,1244,0
Unencrypted104.txt,4497,4497,4497,1174,0
Unencrypted1040.txt,1391,1391,1391,270,0
Unencrypted1041.txt,5914,5914,5914,1045,0
Unencrypted1042.txt,5322,5322,5322,1017,0
Unencrypted1043.txt,1255,1255,1255,206,0
Unencrypted1044.txt,3964,3964,3964,698,0
Unencrypted1045.txt,3960,3960,3960,816,0
Unencrypted1046.txt,518,518,518,87,0
Unencrypted1047.txt,2215,2215,2215,389,0
Unencrypted1048.txt,1869,1869,1869,343,0
Unencrypted1049.txt,3717,3717,3717,654,0
Unencrypted105.txt,2251,2251,2251,280,0
Unencrypted1050.txt,2392,2392,2392,393,0
Unencrypted1051.txt,3325,3325,3325,612,0
Unencrypted1052.txt,6224,6224,6224,1019,0
Unencrypted1053.txt,4660,4660,4660,883,0
Unencrypted1054.txt,3150,3150,3150,535,0
Unencrypted1055.txt,3508,3508,3508,615,0
Unencrypted1056.txt,4165,4165,4165,682,0
Unencrypted1057.txt,5543,5543,5543,999,0
Unencrypted1058.txt,5652,5652,5652,1119,0
Unencrypted1059.txt,3995,3995,3995,740,0
Unencrypted106.txt,3475,3475,3475,554,0
Unencrypted1060.txt,4138,4138,4138,660,0
Unencrypted1061.txt,1102,1102,1102,191,0
Unencrypted1062.txt,3647,3647,3647,683,0
Unencrypted1063.txt,4421,4421,4421,813,0
Unencrypted1064.txt,1228,1228,1228,191,0
Unencrypted1065.txt,3173,3173,3173,576,0
Unencrypted1066.txt,3185,3185,3185,576,0
Unencrypted1067.txt,4573,4573,4573,777,0
Unencrypted1068.txt,6414,6414,6414,1207,0
Unencrypted1069.txt,5565,5565,5565,920,0
Unencrypted107.txt,892,892,892,72,0
Unencrypted1070.txt,2904,2904,2904,551,0
Unencrypted1071.txt,5768,5768,5768,950,0
Unencrypted1072.txt,4657,4657,4657,717,0
Unencrypted1073.txt,470,470,470,94,0
Unencrypted1074.txt,861,861,861,123,0
Unencrypted1075.txt,2841,2841,2841,487,0
Unencrypted1076.txt,5708,5708,5708,1004,0
Unencrypted1077.txt,4608,4608,4608,832,0
Unencrypted1078.txt,5947,5947,5947,1279,0
Unencrypted1079.txt,5900,5900,5900,1388,0
Unencrypted108.txt,3999,3999,3999,390,0
Unencrypted1080.txt,2810,2810,2810,376,0
Unencrypted1081.txt,3462,3462,3462,573,0
Unencrypted1082.txt,4962,4962,4962,459,0
Unencrypted1083.txt,2486,2486,2486,350,0
Unencrypted1084.txt,410,410,410,21,0
Unencrypted1085.txt,1360,1360,1360,51,0
Unencrypted1086.txt,7012,7012,7012,2090,0
Unencrypted1087.txt,4778,4778,4778,2314,0
Unencrypted1088.txt,6319,6319,6319,3102,0
Unencrypted1089.txt,645,645,645,312,0
Unencrypted109.txt,4344,4344,4344,413,0
Unencrypted1090.txt,5616,5616,5616,2759,0
Unencrypted1091.txt,4147,4147,4147,2040,0
Unencrypted1092.txt,1899,1899,1899,860,0
Unencrypted1093.txt,5446,5446,5446,2319,0
Unencrypted1094.txt,1391,1391,1391,580,0
Unencrypted1095.txt,597,597,597,231,0
Unencrypted1096.txt,3498,3498,3498,1387,0
Unencrypted1097.txt,2551,2551,2551,1188,0
Unencrypted1098.txt,3611,3611,3611,1606,0
Unencrypted1099.txt,2698,2698,2698,1168,0
Unencrypted11.txt,7644,7644,7644,3139,0
Unencrypted110.txt,6247,6247,6247,1807,0
Unencrypted1100.txt,1484,1484,1484,655,0
Unencrypted1101.txt,9172,9172,9172,3542,0
Unencrypted1102.txt,5267,5267,5267,2333,0
Unencrypted1103.txt,6244,6244,6244,2694,0
Unencrypted1104.txt,5574,5574,5574,2272,0
Unencrypted1105.txt,7461,7461,7461,3015,0
Unencrypted1106.txt,12465,12465,12465,5329,0
Unencrypted1107.txt,12512,12512,12512,5153,0
Unencrypted1108.txt,2891,2891,2891,829,0
Unencrypted1109.txt,7786,7786,7786,2564,0
Unencrypted111.txt,1987,1987,1987,1001,0
Unencrypted1110.txt,2625,2625,2625,854,0
Unencrypted1111.txt,7466,7466,7466,2371,0
Unencrypted1112.txt,5061,5061,5061,1658,0
Unencrypted1113.txt,5310,5310,5310,1699,0
Unencrypted1114.txt,3131,3131,3131,1007,0
Unencrypted1115.txt,8398,8398,8398,2746,0
Unencrypted1116.txt,2852,2852,2852,958,0
Unencrypted1117.txt,3997,3997,3997,1339,0
Unencrypted1118.txt,8163,8163,8163,2792,0
Unencrypted1119.txt,1515,1515,1515,532,0
Unencrypted112.txt,9395,9395,9395,4568,0
Unencrypted1120.txt,4838,4838,4838,1689,0
Unencrypted1121.txt,10780,10780,10780,3634,0
Unencrypted1122.txt,782,782,782,249,0
Unencrypted1123.txt,5053,5053,5053,1758,0
Unencrypted1124.txt,5932,5932,5932,1803,0
Unencrypted1125.txt,4402,4402,4402,871,0
Unencrypted1126.txt,1470,1470,1470,265,0
Unencrypted1127.txt,4208,4208,4208,862,0
Unencrypted1128.txt,4134,4134,4134,737,0
Unencrypted1129.txt,5711,5711,5711,936,0
Unencrypted113.txt,4800,4800,4800,2371,0
Unencrypted1130.txt,3388,3388,3388,569,0
Unencrypted1131.txt,5625,5625,5625,984,0
Unencrypted1132.txt,4092,4092,4092,745,0
Unencrypted1133.txt,2728,2728,2728,471,0
Unencrypted1134.txt,5677,5677,5677,980,0
Unencrypted1135.txt,2418,2418,2418,428,0
Unencrypted1136.txt,4140,4140,4140,682,0
Unencrypted1137.txt,4153,4153,4153,752,0
Unencrypted1138.txt,3281,3281,3281,562,0
Unencrypted1139.txt,5040,5040,5040,944,0
Unencrypted114.txt,6064,6064,6064,2958,0
Unencrypted1140.txt,6364,6364,6364,1006,0
Unencrypted1141.txt,1259,1259,1259,221,0
Unencrypted1142.txt,1926,1926,1926,345,0
