name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted83.txt,14802,2003,518,6677,74,312,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted153.txt,16886,2496,642,7284,74,312,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted22.txt,24729,3689,922,10913,116,480,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted6.txt,30704,4368,1092,13699,161,664,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted230.txt,29901,4237,1054,13350,160,654,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted265.txt,15675,2213,556,7015,86,350,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted213.txt,22107,2997,816,9726,113,482,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted34.txt,21226,3005,715,9533,118,480,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted165.txt,31001,4616,1144,13660,143,602,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted203.txt,26660,3693,919,11990,140,576,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted207.txt,20105,2790,697,9039,109,454,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted193.txt,28654,4260,895,12694,151,642,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted149.txt,20767,3072,791,8971,88,370,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted81.txt,15114,2122,563,6743,79,338,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted157.txt,26808,3935,978,11878,133,536,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted74.txt,25272,3491,903,11272,132,550,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted92.txt,18726,2924,549,8233,100,422,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted176.txt,26660,3693,919,11990,139,572,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted275.txt,27220,3954,961,12112,140,570,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted199.txt,27681,4132,895,12271,150,630,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted90.txt,39923,5821,1492,17495,188,796,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted9.txt,17417,2556,661,7530,73,310,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted228.txt,24732,3406,884,11097,128,554,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted274.txt,19641,2762,741,8534,94,388,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted217.txt,16096,2413,494,7037,80,342,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted7.txt,30041,4489,932,13336,159,668,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted185.txt,21288,3160,675,9374,111,474,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted64.txt,23661,3257,820,10634,120,502,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted16.txt,18517,2708,650,8211,98,410,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted106.txt,21480,2914,798,9625,117,484,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted178.txt,30433,4226,1149,13407,158,662,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted262.txt,21506,3178,817,9268,97,400,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted244.txt,25883,3867,976,11189,123,506,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted127.txt,34613,4862,1213,15346,180,772,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted294.txt,33027,4855,1247,14389,160,664,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted270.txt,36096,5028,1325,15925,184,770,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted52.txt,20283,3027,752,8969,97,402,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted89.txt,28174,4061,977,12465,143,604,0
